Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,7674924.90,249880.70,828216.90,2406,0,2204,0,5884,0,518,0,32,0.7055749377467436,5004
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11124753.23,210045.71,76240.00,2657,0,649,0,5943,0,974,0,47,0.8610990189863,8124
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1084962.23,24505.57,11080.00,439,0,467,0,963,0,114,0,7,0.7676503188064198,1152
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4138800.80,2418153.71,2238732.00,1743,0,603,0,4300,0,835,0,24,0.9562098438708744,6636
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4180055.07,1246622.02,2614512.00,1006,0,274,0,2550,0,470,0,36,0.48346665689882246,8568
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3265844.54,816421.77,2067833.00,1216,0,783,0,2950,0,474,0,16,0.9007216372404429,4140
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2328137.41,1391381.92,266469.25,1421,0,951,0,2995,0,303,0,23,0.9054176927164741,3360
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2365375.26,1258225.68,481214.63,888,0,379,0,2469,0,306,0,23,0.9358249984432989,3564
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1337165.19,425022.36,441485.61,697,0,713,0,1698,0,193,0,21,0.8196014452205292,1788
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,13463823.13,0.00,0,4482,0,1834,0,10314,0,1704,48,1.0181953516503333,16656
